text,images,videos,gender
এই কোরবানি ঈদে ঘরে নিয়ে আসুন Lizol #GhorhokLizolclean,[],[],m
"এটা কি বানালাম? খাসির কোরমা নাকি রেজালা? 
#khudalagse #muttonrecipes #recipe",[],['https://www.facebook.com/khudalagse2/videos/980252816730290/?__cft__[0]=AZWm5I8VSPOw5VzAhLB1c5Sil_r_IXrBdGODVEizHCJ8EH9sZuI2bdtNIkqkZG8a-eVd3et6SuGWOxE6iEu39snOkvJDBbxgxEpxdHK8ph6SndG2GIBJZH6EgaxKdykQcU-ki8woP8-8T1LVErD6SIyHBYALAEAvZO5403pZR4yDkHVaK4m1UI4XJtWYAjS-WgQ7N9i6UmSy3mvVluP90svlkek9qAMwXmuhrILnsqdJEQ&__tn__=%2B%3FFH-R'],m
"আমার হাতের বিফ চাপ খেয়ে শ্বশুর বলল রেস্টুরেন্ট দিতে! 
 (Eid Special Recipe)
কোরবানি ঈদ সামনে, তাই ভাবলাম বিফ চাপ বানিয়ে ফেলি। এই ভিডিও তে দেখবেন কীভাবে খুবই সহজে অর্ধেক মসলা দিয়েই বানিয়ে ফেলতে পারেন এই বিফ চাপ। আম্মু, শ্বশুর, শাশুড়ি & বন্ধুরা খেয়ে কী বলল দেখতে পারবেন এই ভিডিও তে।
#khudalagse #recipe",[],['https://www.facebook.com/khudalagse2/videos/1499453060670946/?__cft__[0]=AZV0k3PVKcHFMWJ4H8a9L_O6pyg2M_YXGS8bS-xEcp9T2ZSBxm9tw0A0NPeNwWJGM9QFeYY71nMwUyz720EQOVOpwzP1C08SQF5iQBpCnjbACOQVLzgkajAAcmyveLmAXUh2khI49f17wrto8XNpOnySDA9zCZ8Xb3GO3X_3UrKnOhBNZVEx2EV-inxM1CeU2FnVm5XTE9x4ZExTPG4Zr_Hj-WI_Wy7gg61quz8Kvnha5g&__tn__=%2B%3FFH-R'],m
"এক সময় নিজেকে স্কেচ আর্টিস্ট ভাবতাম 
ছোটোবেলার মেমোরিজগুলোর গুডনেসটাই অন্যরকম! আজকে একটা মজার মেমোরি প্লাস প্রতিভা UNCAP করবো তোমাদের সাথে।
#khudalagse",[],['https://www.facebook.com/khudalagse2/videos/1149080912912540/?__cft__[0]=AZUpfr597-eoSoXH3nsqOQ31nm9aEwYxQf3287oAgOgjev-lN2MhxNhJd908F1YFBqtgDK-_QsPVpPusDmAFWzYJ_HwD27wMB-Rsu_M99J1Gk9HkKIukOCdLIGnypAR7pTRF2flbtNo-UFUixax8-sem6WpKI87E3mWUUVpy3kQGg0FUvLPa41XgGLQkIcPqLRbpK1EuLykDpLX1R7G27YRP7eGATG9Kay4HVvJwX9c33Q&__tn__=%2B%3FFH-R'],m
Fancy সকালের নাস্তা খেতে কেমন? All Day Breakfast Review | Smith's Cafe Regalo,[],[],m
"সকাল সকাল এই কমেন্ট টা দেখে মন টা ভালো হয়ে গেল। আমরা দুজন সবসময় খুব মন দিয়ে আমাদের কাজ টা করি আর যখন এরকম কমেন্ট দেখি তখন আসলে খুবই অনুপ্রাণিত হই। মনে হয়, যে এফোর্ট টা দিচ্ছি সবই সার্থক।
আমাদের দুজনেরই নানু ভিডিও গুলো তাদের ফোনে দেখে আর সব সময় আমাদের সাপোর্ট করে আসছে। কেন জানি এই দৃশ্য টাই চোখে ভাসলো। সবচেয়ে গর্বের ব্যাপার কি জানেন? - ছোট থেকে বড় সবাই একসাথে যখন ভিডিও গুলো দেখে, টিভি তে ফুল ফ্যামিলি মিলে ভিডিও দেখে, ট্রিপ এ গেলে যখন শুনি আমাদের ভিডিও দেখে বিভিন্ন জায়গায় গেসে এবং সবাই খুব মজা পাইসে। আমরা রাস্তা ঘাটে থাকলে অনেকের সাথে দেখা হয়, এদের মধ্যে বেশিরভাগ ই আমাদের বয়সী। ছবি তুলার সময় অনেকেই বলে তাদের মা বাবা আমাদের খুব পছন্দ করে, আবার অনেক সময় আঙ্কেল আন্টি রা আমাদের সাথে ছবি তুলে বলে বাচ্চাদের জন্য তুলছে। এই ফিলিং টা আসলে বলে বুঝাইতে পারব না। ইন্টারনেট কে পসিটিভ ভাবে ব্যবহার করলে জীবন পাল্টে যায়। ৪-৫ বছর আগে শখে খাওয়া দাওয়া করতাম, টুকটাক ভিডিও ছবি পোস্ট করতাম যেটা এখন একটা দায়িত্বে পরিণত হয়ে গেসে। আশা করি সব সময় সততার সাথে আপনাদেরকে এই ভিডিও গুলো দিতে পারব ইন সা আল্লাহ। 
আপনাদের সবাইকে ধন্যবাদ আমাদেরকে সাপোর্ট করার জন্য। আমাদের বানানো ভিডিও তে এরকম কমেন্ট করার জন্য।
নিলি অপু, আপনার নানু কে আমার সালাম। I hope she keeps like this beautifully ",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/444944737_1027873698697657_6984625952049307980_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CyReyqYA0_gQ7kNvgEv9p78&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBqQw2wMks06kcX7TnBIWlHC8z2d39n9ROXQ-bDAeuq6w&oe=666FC348'],[],m
"DHAKA STREET FOOD | Uttara | ফুচকা, ডিম চপ, টিকা বার্গার, সস্তা পিজ্জা, কাবাব, গ্রিল চিকেন, অন্যরকম চা, ফ্রেশ জুস
ঢাকার সবচেয়ে জমজমাট street food লোকেশনে আজেকর ফুড ট্যুর। এই ভিডিও তে দেখতে পাবেন অনেক ধরনের আইটেম। আপনি এখন থেকে কোনটা ট্রাই করবেন?
#khudalagse #streetfood",[],['https://www.facebook.com/khudalagse2/videos/1010183630802978/?__cft__[0]=AZWBLpbrVVr8ZRycQZMbVDWliOl-UZBVN64alNfTaElOUfee9PEwfDd4M7whjiZTBkx2HH_c_ITDofmIOAwwftl23SfKS9VDC39V9pAObBTtgvbcXDsTUfyompTX_CLBoLaVc7nluUMEohpK0M1ZeKJ_LbOfLQqFEhexQi8LzFY4rQTBV8Kjzy5u8l8pjDJsa0M0L68dEntqd5zosi7Kx4HYVAEXt3VmBnZHGCtUl56btw&__tn__=%2B%3FFH-R'],m
"ঢাকার সেরা Thai Food রেস্টুরেন্ট! কিন্তু এতো টাকা দিয়ে কেনো খাবেন?
#khudalagse #foodreview #thaifood",[],['https://www.facebook.com/khudalagse2/videos/3946958582254611/?__cft__[0]=AZV_K5yP4J4qswI137Yjh1tNntkm_DKNu8CdbZKiXb2Rvew_-PBNVuwnku2qaJzXO1JCLeiAlpbao-ZaaVa1yCDAwf9-v5AqOLIRus5J5iYxLnkqH91MvS7k8Hf0r4jwipjmoWyCjPrY0njxgPyP8zCT2j1TMcMpbvR9V_uSJkKd_9eMBEM8hE_jKNxjPblCs3lsKrcyYqJpC_eRY4mB8KaSGsomukifkdy4X0Ydff821Q&__tn__=%2B%3FFH-R'],m
"মাকে বিয়ের আগে এতটা হেল্প করা হয় নাই,মা সব কাজই নিজে থেকে করে দিত। এখন যেহেতু আলাদা থাকি নিজের কাজ নিজে করতেই হয় তখন একটা আফসোস তৈরী হয় মাকে যে সব পর্যাপ্ত হেল্প করা হয় নাই যখন দরকার ছিল। 
পৃথিবীর সব মায়েরা ডিজার্ভ করে অনেক শ্রদ্ধা আর ভালোবাসা 
ছোট থেকেই ঘরের নিজের কাজগুলা নিজে করার অভ্যাস গড়ি, মায়ের কাজটা সহজ করি !!… See more",[],['https://www.facebook.com/GlitterKitchen/videos/1134204701155951/?__cft__[0]=AZV3HRNt0asYsVQqtlAlab1_Hky7jDyjs4PAondnLRo4j_rmOhHTEquQVel-cY3vzP6n1r4RS3Ma6lYZPNkw8rRZEnWJAnYWDPfZIXPMO_yusvCPJcnsOLCo-UtAU8sWFu96pCRok1sfLsg3p4iuzDdWxztN0EWRsj7WrTTr0YpfHV7IeoUsTKLX5gTz49Vr_SNHOdklwqpzCQ7-yjWryELeEnksSChonz3CLjsO6GUvic51EAJS8kRoUsPzFfJ6gpY&__tn__=%2B%3FFH-y-R'],m
"আমার হাতের সেমাই খেয়ে জামাই যা বলল! ঈদ স্পেশাল সহজ লাচ্ছা সেমাই সুইস রোল রেসিপি 
.
.
#khudalagse #lacchasemai #bombaysweets #tasteofbombaysweets",[],['https://www.facebook.com/khudalagse2/videos/2110304956022834/?__cft__[0]=AZXAEFfcoo3OISnZyFZSVO9ICtcVZGIq3suLJpcxwPbZX1cZegKy-NzPzBJTKZQ3GCrDkKExtQafBh_dWkZ2ZNOsIFNQru9DIJGUWcSBAVU7dIap7_UKdm8pZ8eOqBJrft-1THdVp-TJ42AA4FcYYx42afGV8dAVyy2-rdALB2kwr2mDSWjrU2GddezO6AHKcLf42mVWwRv8m-RXoXx8Ya_I&__tn__=%2B%3FFH-R'],m
"Budget Gulshan Food Tour | আপনার কোনটা পছন্দ?
Tag someone who will treat you here! 
এখানে সবগুলো জায়গা গুলশান ২ এর ইনার সার্কেল এ অবস্থিত। ম্যাপ এ সার্চ করলে লোকেশন পেয়ে যাবেন।… See more",[],['https://www.facebook.com/khudalagse2/videos/700601335618135/?__cft__[0]=AZXqXJYocdJ_O1wxx0csaCcCjb-o4QRLkRDRWtLVM-w5AZ8t-UDcx2fppqho6RupkqMWKnRz7DkBoU6zw8SxbxUMiCzBlzP4lpqh7OuuHyxLkxyDIpo2BQjhWiiIVBqdDQprl7PPS_-IQT0vNN52Q3LV2cgHk1x5JU8jZa5K04FNAwcHek8t1FkDOr1etVCz4VJgPIb3ivwdz0f2RtywVplx&__tn__=%2B%3FFH-R'],m
"Late Night Budget Food Tour | Gulshan, Dhaka | আপনার কোনটা পছন্দ?
Tag someone who will treat you here! 
এখানে সবগুলো জায়গা গুলশান ২ এর ইনার সার্কেল এ অবস্থিত। ম্যাপ এ সার্চ করলে লোকেশন পেয়ে যাবেন।… See more",[],['https://www.facebook.com/khudalagse2/videos/439349725176129/?__cft__[0]=AZXurooN_vROxHRbR3D9T_aNdAcdrmaxz_z9uaUqplPzvMAW5q5uYSJT9iGyfOPpy-BtWPt03e-CCkiQNZ8Jqx7Ve6vuvqz63z88Zw8f78tehtql-LvilTQadegJtTFiUbkoa_oVzVo0_SVB3KaTC43vyfY0UpboCNsvDwJo2dEBYWjPGXpVbfaBKobLe56v9nn1trxpVFonpdZ99vPeLbat&__tn__=%2B%3FFH-R'],m
"আমার হাতের কাচ্চি খেয়ে শ্বশুর শাশুড়ি যা বলল! ঈদ স্পেশাল সহজ কাচ্চি রেসিপি 
#khudalagse #recipe #অর্ধেক_মসলাই_যথেষ্ট",[],['https://www.facebook.com/khudalagse2/videos/1054956085567554/?__cft__[0]=AZWThUGw611OWOe6T9cb1MG7N8xg90APOtMSBIlZQvETnFezjx-juieoLcs676Ej6xl4tnjk0C90JS9yHL7ZmpOGnAL0P2xf-FFXqe3-RbPIkSl8yWCOV9Y2_zgLu01Zy1q2G_xPzAdnKyDCPMGBox5ST368hes3wWak7caSTy3BDOcXwKk2f4mcWfHRKZfZGwcguzvo8au7po5tEqCiCZYl&__tn__=%2B%3FFH-R'],m
"বাবার হাতের মুড়ি মাখ! আপনার বাসায় মুড়ি কে মাখায়?
#MonthOfGood",[],[],m
