text,images,videos,gender
" স্টেক দিয়ে ফ্রাইড রাইস বোল রেসিপি || Beef Steak Rice Bowl Recipe 
Took fried rice to a whole new level with steak! This unexpected combo is surprisingly amazing. Cook the recipe and see for yourself!
 উপকরণ ও পরিমান ইউটিউবের ডেস্ক্রিপশনে লেখা আছে: … See more",[],['https://www.facebook.com/PetukCouple/videos/1471435036829464/?__cft__[0]=AZV1_j0dJZZyGODqnZAmgCY0QAK1VBm7og8bkdSU8Ft9qYQuwwU4HUGKcuyYauTS96JfQFs_xFmdzXVNb04PeAJr54X0Tj4WdNSbfsEjFeGU-94sxN1R83YnKWLgHFtRvA_SDPqCikHaXdYOpJsRiFBftZTQQh0hl2i7L2qN_KbUGaSZLqwFVC60jyzjV2HEbQ6onIMDR8IPT8kNfrE-IssqJblpRjUnZcfIugM5NE6WUQ&__tn__=%2B%3FFH-R'],m
" আম্মুর হাতের স্পেশাল আখনি দিয়ে বিরিয়ানি রেসিপি || A MUST TRY || Special Biryani Recipe by Mom 
 Get Shukran Rice: https://shukran.store/products
 উপকরণ ও পরিমান ইউটিউবের ডেসক্রিপশনে লেখা আছে: https://youtu.be/K5Kfpt8asXI… See more",[],['https://www.facebook.com/PetukCouple/videos/7884538228232914/?__cft__[0]=AZV02ZJ9kT_edY6osurodIXkWb-QYw7RIExFSsVQEoyagXy5bxt4S7XcNfwz8rFsHT9kDH0KtCpkd657NvGLZUjDSvS9OJsdVza86uiRtfyVQd1aqHCmtQ_a-Tnubw9ntdl4Jn3BsmoYzkqp-iXz6MDRq5tsvkqV30WThF5hABIO4OZIaD-dBXj9SCNIHAPD9yx290m0CWwsLv_bBtshEQr2n06bufB_AP0ZRTuwwsE3LQ&__tn__=%2B%3FFH-R'],m
" চমৎকার এক হোটেল এবং পানির নিচের অদ্ভুত এক রাজ্য আর সেই রকম Turkish খাবার || Best Experience 
To Win 5000 TK Contest, Fillup the form: https://forms.gle/t3jtsvEHm9uMPN7C9
 বিদেশ থেকে দেশে টাকা পাঠান খুব সহজে ও একদম ফ্রি তে! 
ড… See more",[],['https://www.facebook.com/PetukCouple/videos/988663102649149/?__cft__[0]=AZUkjhIWf0L9hXN-3204W77vLH2UJ0sYhE_gnuXhLqoauvk9ceHkE2IImvSSsheIVWG5OL-r2QnrqzNr7cEd5TXXcHIZh2HNWEBrCHnzD4SnMIKwNzhsajzGALRqg-2P1GHCGc3qHCeH-cNQBz16ov_Y-CtWk5SE-t6NNXgh3hDUKY8zfhFIckabJZwgcvlS__arIwMvgiF2MEfvP4aWJ8hlc2UvWyxyhe_IeGUk7KOaxw&__tn__=%2B%3FFH-R'],m
" ইলিশ মাছের পাতুরি, পাহাড়ি মোরগ আরো অনেক কিছু! || Ultimate Food Tour in Cox's Bazar 
Cox's Bazar after 2 years with friends! This video takes you on our journey, from the beach to the best local eats. Come see what we experienced!
Systema Toothbrush: https://www.facebook.com/profile.php?id=61556241140917… See more",[],['https://www.facebook.com/PetukCouple/videos/1152813322491789/?__cft__[0]=AZVJCEgqva056W75UzguGSFAnTnLzLcssgY3cL_Wj83jKt2xjhgMIccLtDFqDGAXiDtsv-8qjC6sfYosEOc_oVi6kLJwBsfA7jgq9jmlmFXBiSivs02IDkmerGykN1EpM3BV-y8LA_47vdBxodwKB6WWmzSdajBCcHYlUUoACd9XElAgtpmMLzFqYY61eBfIYHRFBHUxyB52h19fBl4ZgInfz227l8Y0pO19ZvzsObWIdw&__tn__=%2B%3FFH-R'],m
" রাখাইনদের বার্মিজ খাবারের নতুন রেস্টুরেন্টের অসাধারণ অভিজ্ঞতা || A Must Try 
 বিদেশ থেকে দেশে টাকা পাঠান খুব সহজে ও একদম ফ্রি তে! 
ডাউনলোড করুন Taptap Send: https://taptapsend.onelink.me/Lrab/PETUK… See more",[],['https://www.facebook.com/PetukCouple/videos/3641374262744491/?__cft__[0]=AZVpig5cOBI2wGILA2YwknErs8F30pmXPLQUktKL9pNzzueNc_Mms4RmGDEozub_MgocRErmRDuO7-ZlMtLDvUGEH7UIN1wxN1AZMf36c4ehEb8QmIGEarnwgQDp4E96x4AjT8ZdQXKgKB3H6aVP0M0pTXlu2lNK71ihv3GM0tHu2w2KYc3CRkCaqUyLHA5Q8OG2hcePhVjKN24fuPeipl1QmUSt8EulhRUk-vwVCepETQ&__tn__=%2B%3FFH-R'],m
 ভিন্ন ধরণের সামুদ্রিক এই মাছটার ভিন্ন ধরণের রান্না ,[],['https://www.facebook.com/PetukCouple/videos/1671110923700241/?__cft__[0]=AZV919wsF7JVPE6hYkBiFD_3C5p-y8x-3he6YABYt9ZSGbNkTPjYmUotbzlr22P52m7bc1EhO-ymN2aEwQYdceP_lehKpJf_cOLn2QDxUCWpQO0wHYm6GdWwggpRb7Y0pW3HPy-OTK-nI_fVJR3-jVHeoWeDBMjBq_bo8x7QJuc3ztu3Y_NsvIm0mj27Y4chxKE0iCJPybzEwkgAQXFFIw-A&__tn__=%2B%3FFH-R'],m
 মিষ্টি খাওয়ার Challenge - দেখা যাক কে আসল Petuk ,[],[],m
 ১৫০০০ টাকার এক বাক্স গরুর মাংস! - আমার জীবনে খাওয়া সবথেকে দামি Japanese A5 Wagyu Steak,[],['https://www.facebook.com/PetukCouple/videos/308614265440742/?__cft__[0]=AZV-gH-4ZQoa3OFkgkD2WPj1ZvSA3chI7TbLnNMbbfgMPpV67tO1B6t_goJwEB2sBe8A7Hcedtxnn5ScqxOyqvvQxUPer0uGhQXUHhdcALbOUGSUjHHTDslhsLZuqmX70gzY8StNWZTQqW5JUh4xYctUBnulPXq06ULe2_zN-BlNuECOdOtkOxpN2QbLSW3cFi0goNRoIsdN4L_VuhghHLfV&__tn__=%2B%3FFH-R'],m
"Our Eid Day 
 #EidMubarak",[],[],m
" Creamy Cashew Chicken Recipe - হয়ে যাক চিকেনের এই রেসিপি? সাথে মুচমুচে একটা পরোটা 
You have to try this chicken recipe! The combination of creamy cashews, tangy yogurt, and aromatic kasuri methi is mind-blowing. Especially with crispy paratha for dipping – pure deliciousness!",[],['https://www.facebook.com/PetukCouple/videos/750146897225079/?__cft__[0]=AZXvGlRC7iknjezW7LfWP_IdUtPDK_LhXjJAtFX0UciAp5hikxO9Tqmcfd23jDCu0lMcGqaqUDDPavQY1xIuOgT-RLWnGPDuWAZMMoxe4hIl5uMNQTox15vMxwgvw542qMZbpfS6hRhpiY2qdCButvjnBkto43ZN2K4sOSqm8mACCgiQ2yvQtJd_eVBnkvtlCg7GF5kCGzSrky-nWnAPTsom&__tn__=%2B%3FFH-R'],m
