text,images,videos,gender
"সুপার এইটে ভারতের সঙ্গী হবে কারা?
#prothomalo #prothomalosports #palo #cricket #WorldCup",[],[],m
"গত বছরের তুলনায় এবার গরুর দাম কিছুটা বেশি। তবে গোখাদ্যের উচ্চমূল্যের কারণে উৎপাদন খরচ বেড়ে যাওয়ায় গরু বিক্রি করে তাঁদের লোকসানই হচ্ছে।
#bangladesh #prothomalo #palonews #district",[],[],m
"যুদ্ধকালীন মন্ত্রিসভা থেকে পদত্যাগ করেছেন ইসরায়েলের সামরিক বাহিনীর অবসরপ্রাপ্ত জেনারেল ও ন্যাশনাল ইউনিটি পার্টির নেতা বেনি গানৎস।
#prothomalo #prothomalonews #world",[],[],m
"বিশ্বকাপ বাছাইপর্বে দ্বিতীয় রাউন্ডে খেলা ছয় ম্যাচের একটিতেও জেতেনি বাংলাদেশ, হেরেছে পাঁচটিতে, একটিতে ড্র।
#prothomalo #prothomalosports #WorldCup #football",[],[],m
"তোমার অর্জনে, আমরা গর্বিত
তোমার ভালো ফলাফল উদযাপন করতে নিবন্ধন করো-
https://gpa5reception.pulse.ly/uhzvedmigh… See more",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/448224300_879385207561741_7460422146476241587_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=z7I5HvqGhQAQ7kNvgFF5ymD&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCkgBQTZ38EqUNpvpAYrM8ZwI7UPsX37Z6F0d8aj7tS1Q&oe=666FD352'],[],m
পরিচালক সন্দীপ রেড্ডি ভাঙ্গা প্রায়ই তাঁর ‘অ্যানিমেল’ ছবির কারণে নানা বিতর্কে জড়িয়ে পড়েন। কিছুদিন আগে বলিউড অভিনেতা আদিল হুসেইনের সঙ্গে তাঁর বিবাদ শুরু হয়েছিল। এই বিবাদ আবার মাথা চাড়া দিয়ে উঠেছে।,[],[],m
"ইংল্যান্ডকে বিদায় করে দিতে স্কটল্যান্ডের বিপক্ষে গ্রুপ পর্বের শেষ ম্যাচে ফলের ব্যবধানে প্রভাব রাখতে পারে অস্ট্রেলিয়া, এমন ইঙ্গিত দিয়েছেন জশ হ্যাজলউড
#prothomalo #prothomalosports #palo #cricket #WorldCup",[],[],m
"প্রেসিডেন্ট জো বাইডেনের ছেলে হান্টার বাইডেন যেসব অভিযোগে দোষী সাব্যস্ত হয়েছেন, তাতে তাঁর সর্বোচ্চ ২৫ বছর পর্যন্ত কারাদণ্ড হতে পারে।",[],[],m
"দেশের প্রধান শেয়ারবাজার ঢাকা স্টক এক্সচেঞ্জের (ডিএসই) এক স্বতন্ত্র পরিচালকের শেয়ার ব্যবসা নিয়ে অভিযোগ উঠেছে। সেই অভিযোগ খতিয়ে দেখতে একটি তদন্ত কমিটি করেছে ডিএসই।
#prothomalo #palo #business #sharemarket",[],[],m
"নিজের পানাসক্তি নিয়ে তিনি অনেকবারই কথা বলেছেন। মদের নেশার কারণে কীভাবে তাঁর পারিবারিক ও পেশাগত জীবন ক্ষতিগ্রস্ত হয়েছে, সেটাও...",[],[],m
"অতিরিক্ত ঝালের কারণে দক্ষিণ কোরিয়ার ইনস্ট্যান্ট নুডলস নিষিদ্ধ করেছে ডেনমার্ক
#prothomalo #prothomalonews #world",[],[],m
"আজ কুয়েতের দক্ষিণাঞ্চলীয় আহমাদি গভর্নোরেটের মাগনাফ এলাকায় ছয়তলা ভবনে আগুনে মোট ৪৯ জন নিহত হন।
#prothomalo #prothomalonews #world",[],[],m
"জি–৭ সম্মেলনে রাশিয়ার ওপর নিষেধাজ্ঞা দেবে যুক্তরাষ্ট্র
#prothomalo #prothomalonews #world",[],[],m
"পুলিশের মহাপরিদর্শক (আইজিপি) চৌধুরী আবদুল্লাহ আল-মামুন বলেছেন, পুলিশের নির্ধারিত পোশাক পরা অবস্থায় কোনো পুলিশ সদস্য টিকটক...",[],[],m
"বাজেট ২০২৪-২৫  :
নতুন বাজেটে ব্যবসায়ীদের যেখানে করবোঝা বাড়ল",[],[],m
"আইনমন্ত্রী আনিসুল হক বলেছেন, দেশের যেকোনো নাগরিক আইন ভঙ্গ করলে তার যেমনভাবে বিচার হয়, ঠিক সেভাবেই নোবেলজয়ী ড. মুহাম্মদ ইউনূসেরও...",[],[],m
"সেরার পুরস্কার হুমায়ুন ফরীদিকে উৎসর্গ করলেন নিশো
মেরিল-প্রথম আলো পুরস্কার ২০২৩
#MerilProthomAloAward #MPA2023 #ProthomAlo #Meril #Entertainment #merilprothomaloaward2023 #Prothomaloaward #celebrityawards #celebrity #celebrityshows #merilprothomalopuroshkar2023 #prothomaloaward #merilprothomaloaward2023 #awardceremony #celebrity #celebrityawards #মেরিলপ্রথমআলোঅ্যাওয়ার্ড #মেরিলপ্রথমআলোপুরষ্কার #merilprothomaloaward  #merilaward #merilprothomaloawardfull #merilprothomalo",[],['https://www.facebook.com/DailyProthomAlo/videos/980754196689404/?__cft__[0]=AZUF2hvJiTJb2ug0iBzrikPf5-hwVUv7rA04HeNHLgJTy7XCnxw7k57isLkJbU89g-wyDOueUj_PfFB12VlkjccvZWyRujHqDnpHnSS9JnGzXbphCSkT1O-AxefeKEnFASmapBiC6V4hy9Hopi7PWqmCPiQPEWUl_dVQopzC679FBavVCISwtspJ_vGU8S_iYl0Zl5Dl5WKSR_k3C2PQqCV2&__tn__=%2B%3FFH-R'],m
