text,images,videos,gender
70 vs 150 vs 200 Taka Lunch,[],['https://www.facebook.com/Rafsanthechotobhai/videos/343589901862105/?__cft__[0]=AZVfoM8yxZI6GluFlRjhE0xztdbm1PFz-q5ItwBe2rJM28X6NQxxm9KuNhaVjwk3X-ITMnZ3LA679RLhpRZf1F49PtDJzj4c1Tnwqp22uf-SVbTbqAevhziVHpeaUH23FhnIeVxMT1E5H9pZtgfywzfdnSkBnO1lbtoKB4AhLowKgWoCL7IBgnebk6Iwm2B8U6HJpZu0e2jVPj6RCO-1Y6kBiP1jw1XpERTm29YufIOPTA&__tn__=%2B%3FFH-R'],m
I became my MOM for one day,[],['https://www.facebook.com/Rafsanthechotobhai/videos/1252781119015238/?__cft__[0]=AZXFafJVtl5bbM1kDytYqyzbpFFslRTqUgEtFA7liijarpAHPnCyGMrLtZ-Uaz_9SqNSHskTDRC8sIIdMHmNFJzUa3mX50D2RQ4kFdK_lx-Fc96qXU96zHBlFI1hHfeOP_34RKFFzxs6xE1oRWwFGT7mfzogabfPPqjnZE1hk4yBLtMmSC3bfJkHJYgx5tql57lU60BoGRAhjOA1XKlo7NbL5Ky9jYHxcLDDG_aaEGJIaQ&__tn__=%2B%3FFH-R'],m
Goodbye,[],['https://www.facebook.com/Rafsanthechotobhai/videos/1422158849184792/?__cft__[0]=AZW6JvNGat-ca4iIpODJ8f6OQcoHPSMfcsZTGsYRDwSdw6ArihwMlTwGoK99jUBe2VwrYHEEUGVmyIOGUwoNB8_5Ytqf7B2H4F5LOpR44p4BLVwA80to2DwC67gA7ax6FiZ75gro9VkCbyYWd94-b6nBMGcSbqrYa2ugecVqIGmE1GVtL6on4Lx5q5KjwWwPNlYiHxISysr_zsFI0xq6qXfE&__tn__=%2B%3FFH-R'],m
Our condolences BLU just launched the best flavour,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/441255114_18432461674008963_2169387774513462503_n.jpg?stp=dst-jpg_q85_s640x640&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RnuFTl4kXrsQ7kNvgGRVEar&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAPF0A0tQiUMBLpiNLj2QC_-ysj4jvL5DqdGpjXSlEVEA&oe=666F9819'],[],m
"Ready for today's live at 3PM?
iPhone
Bike
AC
Gaming Chair shob ready",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/440332167_1046603736835409_6137873950876070185_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vIQIchdEYowQ7kNvgEVt7l_&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAfjAP_06vAZDeO6Z1448hDrlhmhcTU8xYiKae7HNK1Xg&oe=666FA4A6'],[],m
"This is the Number 1 buffet in Asia located in the 
The Spiral buffet in Sofitel Manila",[],['https://www.facebook.com/Rafsanthechotobhai/videos/1523760024846545/?__cft__[0]=AZUuYMBz0SUcm7TBl_bM6_j4QNR_Mc7Mf7-I__cIHuVeaCjWbC5eQz7sLNs6fc_oSbd0vVyop1Yq4Z_perE8xldk5QM5x4cPlCdiFhj2FS_cQcJI2Q_XT8H43IjY0N0Hvm8Esxbic_jwewkmDwgCWK-hUBOawjwG5sf3qu6meqp0tXLqv2Oqq59AINb6UzqEEV0ieLRu8f-Z2sqGfP7dQKgsB52xGjZURIzCKW57r-BctQ&__tn__=%2B%3FFH-R'],m
Big News,[],['https://www.facebook.com/Rafsanthechotobhai/videos/964662898249740/?__cft__[0]=AZWnpuY-AnGPq1rErwK7naQCYRU6i2MNC4QreGaQnFs85pX3HGX4nBpaR91Ou33QT262i0rtJZGisQgJJaWUcDF57DG29DOwuXzw1hJQYexJ-1SdTBLHNxmrDV5oYobeb7r1zHbjowznUjTPsWgjR5wkq591FRV1qA4OD7TxC0qt6KNOPI7BEus1z_IPPhfNYm8se6jLY0aDgedysl34ayQ7PHbyalkMYyJbTGGzEgrElQ&__tn__=%2B%3FFH-R'],m
"Surprised my parents with a car cus why not
Video is out now",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/440326094_1043678570461259_4579406726304660584_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZzRO8XuoKsAQ7kNvgHx2_NH&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAT1PwpryIa8lRuSlqeZAOCgMyjawjnhRRGoN9qwc6xLw&oe=666FB0FE'],[],m
I Surprised my Parents with their dream car,[],['https://www.facebook.com/Rafsanthechotobhai/videos/362634530123939/?__cft__[0]=AZXRcw655-1jwP7Btd8ygsU_h6lJoKE28j5Xyg1xFWflri6_j5J2yEbbH21En_xZgvRXMxCuZP4cvmfYZLkX1o6FaHq4fLEOmUOz_uvnFhYzcvo6sZsTCF37FU5_0UoY8d5YxEJGauYakbHWqklFRfc4AxTYzO2AXugOGPxW3h6lyAEPsFac4pqf138_Rp1InUOw_GGdY4mEDxsU-0ObLjHfEYw3HD8SVdpK6Np3mxwQ7A&__tn__=%2B%3FFH-R'],m
"After starting BLU I wanted you to help as many people as I can! During this entire heatwave we gave out thousands of bottles for free to the people on the streets!
In this particular case, I partnered up with Silver Lining Organisation providing electrolyte drinks to the day to day people jara rastay actually khattese! Please help them out, it necessarily doesn’t need to be Blu there are plenty of other electrolyte drinks in the market! Right now the people need help ",[],['https://www.facebook.com/banglavision/videos/1141973373603404/?__cft__[0]=AZWFb4lgTO4DeYlz39yKmcFy2U-0MFidsRzyeD_L1YKIh9NWaG3bkOICy8sV8RafzcEQ-63P9DxHpalHIWEK-9oFWPyTxdOtbrYtGQorMb-OuKOcP87ZXJ2KbV4X_05U0AxgsYRbEB06LntV8WFxKvo_a1ZgjVIR4nocnDa6nePpntGpLSFY6KGC9-k6yqGO38q1TPjKp2A-LC1tBVj50l5pLKuLuOPQ5MssPwJaFxq_JC9lCqlrXplg0dF-b6WuEnw&__tn__=%2B%3FFH-y-R'],m
"I just woke up and read these phenomenal words by Ayman Sadiq about me! Tao abar on the National paper Prothom Alo
Someone pinch me, I must be dreaming",[],[],m
