text,images,videos,gender
"সৌন্দর্যের ভুবনে আসছে এক নতুন চমক। 
কি সেই নতুন আকর্ষণ? উত্তর মিলবে শিগগিরই, লিলির সাথেই থাকুন।   
#Lily #ShakibKhan #KelseyNotez #LilySoap #BeautySoap #সৌন্দর্যেরসংজ্ঞাতুমিই #লিলি #AlwaysBeYoutiful #BeYou #BeYoutiful
Lily - Always BeYoutiful",[],['https://www.facebook.com/LilyForAll/videos/448562371143219/?__cft__[0]=AZXZ_ZU5Btmst4qJbUAh5kA9tC31xHdGcdJXucgOi41Rt-SZZqigJv0V3f4HBmyRMZBuOM5uUp9R_IJwYBR2GaYIx0dHy3kUjHJeksr_8MYLZcpxExBiurUISbqkkE8dLx9ZXeLDmaBMsDxn1Xfo9QqNbDxGJsTWri78g7ifDkN08B0QQy7uXZao75yOYFQfQv2mdXJZIRPwNP-p3lqZW6PYQqijMifhp3nHwqG8NnyLKxlL9DwuO2ZLbi8H7ZZjFvg&__tn__=%2B%3FFH-y-R'],m
"Toofan আসছে - আর মাত্র ৫ দিনের অপেক্ষা 
 #Toofan releasing in #Bangladesh on Eid-Ul-Adha, Internationally on 28th June.
#ShakibKhan",[],['https://www.facebook.com/iamShakibKhanbd/videos/479869084549893/?__cft__[0]=AZX_vcCrXpejz-bgiDBKPHvAWg-O8wwTRFQuuUWmOlEMe8g17HQ48hkxV7YffEuY40heJ8AsaX6ozOFuJ1QnYCbLB08Kw3iouNUNMfGFon0b349zuWrOWxkMvBwseqVx2dDzJK4IIG-vLqTU53EVoxwU0Zdf5CanJIAFrtAiwxRf1PorCPfrdBtdSQyVqfhpkcZjp1aAOkoaqHuH7NTCah4TZ3m5anxh0qKjZbGub0PXtA&__tn__=%2B%3FFH-R'],m
"Let’s begin the countdown! 
6 Days To Go, #Toofan 
#ShakibKhan",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/448201791_1017099596450082_6170186843850092560_n.jpg?stp=dst-jpg_s640x640&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Xut5M9Fv1wwQ7kNvgEO-xYY&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBAy7fJx2xifHX1CfPg3-ntV1Jv9isIXsY3_QfGgtOJzw&oe=666FCE61'],[],m
"Its LILY time 
#shakibkhan #Herlan #Lily",[],[],m
LILY time begins . .,['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/448050400_1015597076600334_2053604797240311428_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BN8OetySO7cQ7kNvgGqNONk&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCveirfWWa5-4TDxgGvHUojSDJkX7LUDt3WESXMKn4M8Q&oe=666FC80C'],[],m
"This Eid-ul-Adha, there will be action, romance, music, entertainment & much more with #TOOFAN at your nearest theatres all over Bangladesh. 
#LoveYouAll 
#ShakibKhan",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447506934_1015382363288472_6467639716819066552_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=t7ck7E2e9a0Q7kNvgHPvwXJ&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDGj_HKSHH9zyR2M6RBT1F2ouyR-dwNei9Sg-4BWKPDtw&oe=666FA427'],[],m
"#Toofan is here to create history . . 
 Enjoy This High Voltage Toofani Title Track! 
#ShakibKhan ",[],[],m
" এ তুফান অদম্য-অপ্রতিরোধ্য | Exclusive তুফানি Reveal 
, #TOOFAN directed by Raihan Rafi, In Cinemas this #EidUlAdha 
 #ShakibKhan, #MasumaRahmanNabila, #MimiChakraborty",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/445418889_1012371923589516_5433079168301683540_n.jpg?stp=dst-jpg_s640x640&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=qCY4l81m8QUQ7kNvgEAv76B&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCpCN1D-AuUmfX_0pP95c3QJIJpZGqAJgCLIwJoeIprVg&oe=666FB8C5'],[],m
"#LaageUraDhura-র তুফানে YouTube তোলপাড় 
 Song available on youtube 
#ShakibKhan #ToofanMovieSong",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/445373957_1010266103800098_4423027943797786708_n.jpg?stp=dst-jpg_s640x640&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=XMovBfZE-G4Q7kNvgEXcHv1&_nc_ht=scontent.fdac157-1.fna&oh=00_AYA56jov0BpLT7YIIsRnpD6dAj99bC7R06KAFZAd3s-TAw&oe=666FB9A6'],[],m
"#LaageUraDhura Song Available On Youtube 
 #ShakibKhan #Mimi #ToofanMovieSong",[],[],m
