text,images,videos,gender
"নগদ থেকে সব সময় আলাদা কিছু করার সুযোগ হয়। আবারো সেরকমই কিছু একটা করার সুযোগ হলো, তাও আবার তাঁদের জন্য যারা আমার কাছে সত্যিকারের হিরো। বিদেশে দিন-রাত কষ্ট করে যাওয়া প্রতিটা রেমিটেন্স যোদ্ধা আমার কাছে একেকজন হিরো, একেকজন বীর। এই বীরদের সম্মান জানালো নগদ আর সেই কার্যক্রমে থাকতে পেরে আমি গর্বিত।
#Nagad",[],['https://www.facebook.com/TamimOfficial/videos/453815833941447/?__cft__[0]=AZVmxUxmP3Y5y3fHQ-Lg-zKlP2VKVM39O_Wc4T873Nwz82Lu4ffCBN_5ljKQE4RTgUSeKW03NPXP8GJC-LXWmOwYUBftq-8Wz-A58BgAPHdvaGvcTYozfmWEmjWnjPGV2gyvLlnJUv2rduyo9s2Hnmqdk79C9whNwaOgXJeUWDA7DYc0uby3re1jxCBhu0Vkm8vJPZVn0V8RH7EPZqGVQFL216QrDVqpkf9UK1ZMHiTohQ&__tn__=%2B%3FFH-R'],m
"Congratulations to Nagad for becoming the first Digital Bank of Bangladesh. 
#Nagad",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447673860_1016654326490923_8747177151847199286_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lKwrNmDrgzwQ7kNvgFS5Swq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC4ZPyZbJom8rVU1igEe1rpRc0o9plxsLL-iX0N3Wgo3g&oe=666FBBA0'],[],m
A good night in Sylhet Tanvir A Mishuk #Sylhet #lateuploads,[],[],m
"নগদ থেকে সব সময় আলাদা কিছু করার সুযোগ হয়। আবারো সেরকমই কিছু একটা করার সুযোগ হলো, তাও আবার তাঁদের জন্য যারা আমার কাছে সত্যিকারের হিরো। বিদেশে দিন-রাত কষ্ট করে যাওয়া প্রতিটা রেমিটেন্স যোদ্ধা আমার কাছে একেকজন হিরো, একেকজন বীর। এই বীরদের সম্মান জানালো নগদ আর সেই কার্যক্রমে থাকতে পেরে আমি গর্বিত।
#Nagad",[],['https://www.facebook.com/TamimOfficial/videos/453815833941447/?__cft__[0]=AZVmxUxmP3Y5y3fHQ-Lg-zKlP2VKVM39O_Wc4T873Nwz82Lu4ffCBN_5ljKQE4RTgUSeKW03NPXP8GJC-LXWmOwYUBftq-8Wz-A58BgAPHdvaGvcTYozfmWEmjWnjPGV2gyvLlnJUv2rduyo9s2Hnmqdk79C9whNwaOgXJeUWDA7DYc0uby3re1jxCBhu0Vkm8vJPZVn0V8RH7EPZqGVQFL216QrDVqpkf9UK1ZMHiTohQ&__tn__=%2B%3FFH-R'],m
"Congratulations to Nagad for becoming the first Digital Bank of Bangladesh. 
#Nagad",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447673860_1016654326490923_8747177151847199286_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lKwrNmDrgzwQ7kNvgFS5Swq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC4ZPyZbJom8rVU1igEe1rpRc0o9plxsLL-iX0N3Wgo3g&oe=666FBBA0'],[],m
A good night in Sylhet Tanvir A Mishuk #Sylhet #lateuploads,[],[],m
"নগদ থেকে সব সময় আলাদা কিছু করার সুযোগ হয়। আবারো সেরকমই কিছু একটা করার সুযোগ হলো, তাও আবার তাঁদের জন্য যারা আমার কাছে সত্যিকারের হিরো। বিদেশে দিন-রাত কষ্ট করে যাওয়া প্রতিটা রেমিটেন্স যোদ্ধা আমার কাছে একেকজন হিরো, একেকজন বীর। এই বীরদের সম্মান জানালো নগদ আর সেই কার্যক্রমে থাকতে পেরে আমি গর্বিত।
#Nagad",[],['https://www.facebook.com/TamimOfficial/videos/453815833941447/?__cft__[0]=AZVmxUxmP3Y5y3fHQ-Lg-zKlP2VKVM39O_Wc4T873Nwz82Lu4ffCBN_5ljKQE4RTgUSeKW03NPXP8GJC-LXWmOwYUBftq-8Wz-A58BgAPHdvaGvcTYozfmWEmjWnjPGV2gyvLlnJUv2rduyo9s2Hnmqdk79C9whNwaOgXJeUWDA7DYc0uby3re1jxCBhu0Vkm8vJPZVn0V8RH7EPZqGVQFL216QrDVqpkf9UK1ZMHiTohQ&__tn__=%2B%3FFH-R'],m
"Congratulations to Nagad for becoming the first Digital Bank of Bangladesh. 
#Nagad",['https://scontent.fdac157-1.fna.fbcdn.net/v/t39.30808-6/447673860_1016654326490923_8747177151847199286_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lKwrNmDrgzwQ7kNvgFS5Swq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYC4ZPyZbJom8rVU1igEe1rpRc0o9plxsLL-iX0N3Wgo3g&oe=666FBBA0'],[],m
A good night in Sylhet Tanvir A Mishuk #Sylhet #lateuploads,[],[],m
"নগদ থেকে সব সময় আলাদা কিছু করার সুযোগ হয়। আবারো সেরকমই কিছু একটা করার সুযোগ হলো, তাও আবার তাঁদের জন্য যারা আমার কাছে সত্যিকারের হিরো। বিদেশে দিন-রাত কষ্ট করে যাওয়া প্রতিটা রেমিটেন্স যোদ্ধা আমার কাছে একেকজন হিরো, একেকজন বীর। এই বীরদের সম্মান জানালো নগদ আর সেই কার্যক্রমে থাকতে পেরে আমি গর্বিত।
#Nagad",[],['https://www.facebook.com/TamimOfficial/videos/453815833941447/?__cft__[0]=AZVmxUxmP3Y5y3fHQ-Lg-zKlP2VKVM39O_Wc4T873Nwz82Lu4ffCBN_5ljKQE4RTgUSeKW03NPXP8GJC-LXWmOwYUBftq-8Wz-A58BgAPHdvaGvcTYozfmWEmjWnjPGV2gyvLlnJUv2rduyo9s2Hnmqdk79C9whNwaOgXJeUWDA7DYc0uby3re1jxCBhu0Vkm8vJPZVn0V8RH7EPZqGVQFL216QrDVqpkf9UK1ZMHiTohQ&__tn__=%2B%3FFH-R'],m
